Galaxy_name RA Dec Lya_flux Lya_flux_e NB_flux NB_flux_e dist Density Protocluster
10665 148.530792371826 1.42839418544233 7.706180141063956 0.9174452041675335 11.143398840370038 0.668534703852012 104.4029548059802 0.05452665619231381 0.0
10725 148.916546292869 1.42780080033125 2.473548119881287 0.6236524662207289 4.985158621159525 0.5999476849862277 84.1688089956588 0.6470142398031741 0.0
11015 148.768376819904 1.4237251457594 3.89776209318996 0.747253709520853 5.575871633104217 0.6084603487470454 91.90652162501826 1.4483353586459125 0.0
11730 148.704601595281 1.41284562067194 2.111453525432727 0.6750178898913276 4.282295835792752 0.6051372313089559 95.56221602749446 0.8699624150626118 0.0
11735 148.510409447023 1.41258996342241 3.6469129901114625 0.8380180232435321 6.701803478249896 0.708627155321115 105.91624422273095 0.0021337247413156153 0.0
12410 148.755253809373 1.40254525311358 3.013197587484941 0.651810794389423 6.08673459557852 0.6137646203023448 93.22248012992715 1.1961866764280507 0.0
12830 148.95415849798 1.39652530619256 3.216212706585308 0.6591679758166816 5.493479344585695 0.6077777786792751 83.32302990533434 0.6638073300726205 0.0
13177 148.583925635333 1.39074766220943 2.3383675457307156 0.7258587743044117 4.1133995630747915 0.5988820665521543 102.5667244275767 0.21448457446944977 0.0
13396 148.7692299835 1.38717806018767 2.489352776078768 0.6584388773596326 3.8296463362222797 0.5747684707947247 92.96818424507961 1.2779291365164587 0.0
14958 148.682150091083 1.36355060573997 3.230406754427974 0.745118392737921 4.224594065452601 0.6381313583799035 98.18956736682443 0.8492830685146724 0.0
15142 148.80644092977 1.36095782332332 2.6728881687369315 0.6438797711145035 4.587481822002888 0.5807755019985655 91.89380211625779 1.3210312789577783 0.0
15680 148.772482424187 1.35345900629067 3.754541353273456 0.6745781469644397 5.6226411574890065 0.6105466225947503 93.85701757700339 1.8007771848449101 0.0
15818 148.619536752013 1.34937574479197 5.285995864378796 0.8457923356548722 8.057195188023977 0.6709575823046413 101.8732600205872 0.6574920310750285 0.0
15872 148.533840171373 1.34854103159748 3.097106669762934 0.8851526221285727 6.065793055931623 0.6914618527149361 106.40567941101003 0.11500901392263235 0.0
16065 148.831384549498 1.34560132428707 2.241523096910255 0.6545483322920452 3.7341342967246556 0.5905097512801162 91.1388280119285 0.9454910343204717 0.0
16310 148.836595619395 1.34095031580163 23.802712266375398 0.7911826210515801 33.33142054230784 0.740588536406783 91.03257339680525 0.8845080574388287 0.0
16776 148.834243934032 1.33392561304207 3.2445087645644195 0.6607997819452724 4.568017546770459 0.578386371563284 91.38410222878694 0.9276596717375409 0.0
16991 148.723158052596 1.33025233877376 5.146147093475284 0.7273876281411881 6.990407354890761 0.6283008866894859 97.1047286430925 1.3208286127968227 0.0
16992 148.836232196389 1.33045992878295 2.805775010796568 0.6913030674659015 4.158332582417871 0.5718398742461954 91.40120029426383 0.8990318875422592 0.0
17467 148.570301464943 1.32195742002689 4.611581717687652 0.9084803950031524 6.401584540941744 0.7004703973014309 105.25381919131024 0.36471647196756024 0.0
17552 148.780301719761 1.32070502887538 4.804177055956825 0.6707508354094077 6.359375441121721 0.6097693752390905 94.5200412274469 2.481721736254259 0.0
18038 148.878077087366 1.31236608947119 5.816424436269629 0.6781813802473561 8.70050283043822 0.6127692276166937 89.95689794646331 0.5989563555209566 0.0
18516 148.786511748156 1.30475999161338 8.644180080570388 0.703801240762847 9.542942702936646 0.6506364087301673 94.73681465272739 1.9808286885051105 0.0
18767 148.734351424442 1.30044546752219 3.2207202107565998 0.7080610103048756 5.622436815239746 0.6505899263407642 97.49358805103687 2.1744306433448233 0.0
20021 148.653733575938 1.27944533294033 3.687854318169536 0.7456543768769315 5.757602839501115 0.6612078689373087 102.25098297717433 1.0224240243142992 0.0
20073 148.819926624151 1.27909969008094 2.8196601632038365 0.6247601685940825 3.8878375236320193 0.5639643153683883 93.95678419111931 1.0764257718406764 0.0
20324 148.581708061871 1.27521471183607 4.615635600091999 0.8378454585505378 6.837589096023199 0.6487620095964871 106.06980741861264 0.3965297268905786 0.0
20739 148.576393100811 1.26908163756438 2.341034939578017 0.7448908103646503 3.848460888083717 0.6519885956015141 106.53240170671525 0.3894596697631284 0.0
21001 148.728720482948 1.26490230931414 3.637472300939608 0.6717400634025278 6.005754676393414 0.5936098562571357 98.94785298430638 1.8819220773991 0.0
21045 148.847921395217 1.26417363022682 9.837778438759571 0.6807768158417399 13.92160052352467 0.6123205759888921 93.11708267097062 0.6693858997971417 0.0
21373 148.908353591964 1.25967427130894 2.914960727143689 0.6577172874643602 5.245020801179384 0.599008573332178 90.38501958271038 0.5474520214967524 0.0
21659 148.760331939053 1.25525208405159 9.850851836109351 0.7699769705425962 18.94843401892628 0.7074181496603396 97.70637981784712 1.4641822079630418 0.0
21717 148.742646865257 1.25451385492933 2.311306940733109 0.626876806825304 4.323289955484219 0.5946072704760655 98.60536300013763 1.633670480160557 0.0
21808 148.657520025879 1.25283121633801 7.682182352123782 0.8720106924755274 10.33591230834189 0.6948915577484494 102.91504631399212 1.363825764347029 0.0
22534 148.690752104687 1.24203744670312 4.028778823826628 0.6540614245218305 5.4751694034834575 0.6273292888668867 101.60371582859449 2.09907412405916 0.0
