Galaxy_name RA DEC Dec Lya_flux Lya_flux_e NB_flux NB_flux_e dist Density Protocluster
12854 23.12903605735972 -0.920190380997848 -0.920190380997848 3.6221783072251545 0.6968766853167742 5.881965635408733 0.6004892112607786 0.0 0.0 0.0
16938 21.18903026789945 -0.8860196146712157 -0.8860196146712157 7.195430101181083 0.8398597028191591 8.616798862969974 0.7062468578274208 0.0 0.0 0.0
17035 23.11300388026618 -0.885537037200658 -0.885537037200658 5.011742942615851 0.7430139867398313 7.752075384495706 0.6352406301713285 0.0 0.800396401573119 0.0
18146 21.11544362016841 -0.8756694484591011 -0.8756694484591011 3.51952883889264 0.8235011635728661 6.841730792803093 0.6335444736183983 0.0 0.0 0.0
18236 23.10075264494928 -0.8756227816452927 -0.8756227816452927 7.406044769048664 0.7437515123414546 11.500872364255468 0.6573182457688672 0.0 0.0 0.0
18358 23.14183689534425 -0.8756101785293535 -0.8756101785293535 7.97742265212262 0.6925810201445689 14.459356702890695 0.6008239230925058 0.0 2.400932848732812 0.0
18488 21.54863651148536 -0.8737394200787261 -0.8737394200787261 5.996090459720164 0.8490390708900729 7.354854396027399 0.6706818168382016 0.0 0.0 0.0
18976 23.21233461360206 -0.869526576643456 -0.869526576643456 6.420320935433741 0.6565739411455835 8.437219366294174 0.5834873051979589 0.0 0.0 0.0
19985 22.697732276808072 -0.8627442930703544 -0.8627442930703544 4.683350526926127 0.7361429467778364 7.65169788780036 0.6766003641140707 0.0 0.0 0.0
20160 21.63458830339193 -0.8604721407753582 -0.8604721407753582 4.540429282959074 0.6869427099971513 7.155020552259397 0.55986227669358 0.0 0.0 0.0
20901 21.141185929575258 -0.8540401635780079 -0.8540401635780079 5.515129322200726 0.7499361510898722 6.931591681085994 0.6320852227393264 0.0 3.7008276730110454 0.0
21563 21.165760452866795 -0.8492572137223136 -0.8492572137223136 3.5572515511947267 0.8041955130597217 6.046175813722432 0.6272182976766774 0.0 1.2167477770611894 0.0
21777 21.74922570768065 -0.8478451043553924 -0.8478451043553924 2.279258170180161 0.6506545572111034 4.634066060630472 0.5634917143654372 0.0 0.0 0.0
