LAE_INDEX,RA,DEC,ZWAVG,QUALITY,CLASSIFICATION,NARROWBAND_MAGNITUDE,NARROWBAND_BINS
33034,148.87869843197066,1.2228875836496942,3.1253,3.0,LAE,24.86802727648227,24.999999999999982
41761,148.9678728751467,1.11315316114355,0.0,0.0,UNDET,24.37741027789979,24.399999999999984
47757,148.93171904118375,1.0335311224342287,3.1210372,3.3428571,LAE,23.675657650418835,23.799999999999986
52230,148.9363934274928,0.9684064574049761,3.1364129,3.0,LAE,24.313677873688317,24.399999999999984
63346,148.93884739065547,1.5512755462344776,3.148025,2.3125,UNDET,24.5376421114725,24.599999999999984
63386,148.81356365556135,1.550450646423229,3.1484475,3.5238094,LAE,24.080634169676415,24.199999999999985
64714,148.90083458495002,1.537763940631673,3.1041,3.0,LAE,24.67311548027692,24.799999999999983
64798,148.73025128906224,1.5366384812099525,3.0968,3.0,LAE,24.78059680677814,24.799999999999983
67589,148.76107019091617,1.508140969847661,3.1029143,3.642857,LAE,23.972616790288118,23.999999999999986
69361,148.96831860041883,1.4903682025358365,2.1196,4.0,CONTAM,22.862778160441998,22.99999999999999
70845,148.94947772613702,1.4711129533277996,3.1054409,3.6296296,LAE,23.45562358888936,23.599999999999987
72462,148.83894518370784,1.4532038404817598,3.1426,3.0,LAE,24.488248047589632,24.599999999999984
73439,148.69816569214237,1.4424645294901033,3.1426334,3.0,LAE,24.338599294597103,24.399999999999984
74171,148.75389317319215,1.4348939713972209,3.1118,3.0,LAE,25.25163376917085,25.39999999999998
74347,148.71955178465305,1.4328326249529544,3.10885,4.0,LAE,23.62332643840803,23.799999999999986
80298,148.83733710932117,1.367530257575844,3.1241143,3.3469388,LAE,24.327439846328506,24.399999999999984
83583,148.85450663050023,1.329269595735114,1.524,1.0,UNDET,23.525963878366436,23.599999999999987
84650,148.93126895499393,1.3165345055777444,3.156194,3.0,LAE,24.46644178896722,24.599999999999984
87551,148.95183167355648,1.2813526297378863,3.1289356,3.6236558,LAE,23.519204134082685,23.599999999999987
171871,149.58655371601347,0.6834360591099073,3.1422956,2.60177,LAE,23.960856341206892,23.999999999999986
175113,149.50939071995393,0.7076473299605804,3.0955746,3.0,LAE,24.230577272302007,24.399999999999984
175458,150.3323376882964,0.7100637859666368,3.12355,2.0,UNDET,24.105766782815753,24.199999999999985
176507,150.30829785260437,0.7179504670473572,3.1304,3.0,CONTAM,24.27570833611336,24.399999999999984
176961,150.31471118638572,0.7210028451748243,3.1327,3.0,LAE,24.514311725027458,24.599999999999984
177995,149.88118720950257,0.7288150103137486,3.10485,3.0,LAE,24.292457879270113,24.399999999999984
179230,149.30375952054723,0.7382410337141564,3.1386042,3.2916667,LAE,24.420837751763106,24.599999999999984
179717,150.31279372539825,0.7373671338399959,3.128371,3.6925757,LAE,23.58213048911718,23.599999999999987
179967,150.46181873160043,0.741575861696626,3.1525223,3.0,LAE,24.682655158552553,24.799999999999983
180703,149.2886295372953,0.7485834571962126,3.0997465,3.372093,LAE,23.3180726114251,23.399999999999988
183391,149.58801508672047,0.7679446703786315,3.1508,3.0,LAE,24.44037963488827,24.599999999999984
183947,150.44652413322336,0.7723958109525227,3.1517408,2.6296296,LAE,24.672381694620466,24.799999999999983
185325,149.925696668583,0.7815019600585744,3.1030395,3.0,LAE,23.971599863178724,23.999999999999986
186610,149.2555889855738,0.790514045222203,0.0,0.0,UNDET,24.203572870195114,24.399999999999984
186688,149.7618408020327,0.7915938498748809,3.1046,3.0,LAE,24.64661073156845,24.799999999999983
187189,150.3871372739799,0.7951718858439178,3.1337755,3.0,LAE,24.358552027844322,24.399999999999984
187549,149.87884567184074,0.7978107008445978,3.1070693,2.0,UNDET,24.701092824121158,24.799999999999983
187787,149.36791964995348,0.7991727723710307,3.127495,2.8292682,LAE,24.557202228314832,24.599999999999984
189295,149.21502344047548,0.8092027802693419,3.1336875,3.0,LAE,23.600675771150414,23.799999999999986
190069,150.34400362187876,0.8143596295851199,3.13892,3.3,CONTAM,23.446481456668902,23.599999999999987
190574,149.66940470027248,0.8174047507224389,3.1034,3.5,LAE,23.44705705560833,23.599999999999987
193127,149.45829511933343,0.8348170327049594,3.1013763,3.0,LAE,24.479078963453343,24.599999999999984
193131,149.35949983446403,0.8352136161750677,3.127163,3.0,LAE,24.362179250112735,24.399999999999984
194707,149.8859279405154,0.8464606295832036,3.1024,2.4,UNDET,25.30995077966899,25.39999999999998
194935,149.97989537303192,0.8472916076997382,3.115497,3.0,CONTAM,23.992992058539873,23.999999999999986
196810,150.38148396917413,0.861065878818474,3.132076,3.0,CONTAM,23.828863673668202,23.999999999999986
196912,150.4482562014263,0.8615360918014994,3.13685,3.0,CONTAM,24.12270176447811,24.199999999999985
197659,149.75719742754347,0.8667182666180836,3.1118,3.0,LAE,24.33083111456789,24.399999999999984
197899,149.90349531057223,0.8679709393958168,3.10515,3.0,LAE,24.080603267515478,24.199999999999985
198645,149.87358595849904,0.8734278073755556,3.109729,3.0,LAE,24.35676963140318,24.399999999999984
199207,149.89811012646396,0.8766171116733612,3.1014736,3.0,LAE,24.14894425082236,24.199999999999985
199574,150.416085328581,0.8795441764311498,0.0,0.0,UNDET,25.043467235346068,25.19999999999998
199932,149.48370066126063,0.8817322977193022,3.112172,3.0,LAE,24.886677037711475,24.999999999999982
200696,149.95031412890128,0.8865122150958094,3.1146832,3.0,CONTAM,24.17587512231229,24.199999999999985
201495,149.89683648661978,0.8920521955627172,3.109095,2.5577157,LAE,24.22758518378663,24.399999999999984
202776,149.25210551202002,0.9002817262450106,0.0,0.0,UNDET,24.696039965617995,24.799999999999983
202894,149.7426913826791,0.9016845057668058,3.1110687,3.0,CONTAM,24.368833988132273,24.399999999999984
203867,149.85099718794513,0.9082354330460978,3.1162,3.0,LAE,23.680842589603742,23.799999999999986
204323,149.9454162275755,0.9106038795799404,3.11485,3.0,LAE,24.66726695789217,24.799999999999983
204655,149.30859985429313,0.9133213835232477,3.1255713,3.3424656,LAE,23.49921388800433,23.599999999999987
204708,149.4829154999017,0.9140472813728677,3.10705,3.0,LAE,24.607062562634955,24.799999999999983
204883,150.08457399780633,0.9155540089596338,3.1181,3.0,LAE,24.20370929846093,24.399999999999984
205495,149.90751856483715,0.919770488998481,3.112,3.0,LAE,24.561847119147618,24.599999999999984
205864,150.05098244948704,0.9222927501505891,3.1104312,3.0,CONTAM,24.220053803114425,24.399999999999984
206595,150.34935112561158,0.9275450908434307,3.133017,3.0,LAE,24.24102094231651,24.399999999999984
207673,149.7526002202283,0.9350215559173359,0.0,0.5,UNDET,25.35913536855112,25.39999999999998
207840,149.41436665519018,0.9360643654008086,3.1344435,3.0,LAE,24.805486227800102,24.999999999999982
208272,149.53352562472975,0.9381359184318453,3.1209,3.0,LAE,23.494933246062963,23.599999999999987
209414,150.10317785108919,0.9441807659449177,3.1159909,3.0,LAE,23.371350621510366,23.399999999999988
210077,149.5661017655912,0.9519367974341303,3.1460474,3.0,LAE,24.789728802456864,24.799999999999983
210634,149.91589230032056,0.955369954701864,3.1104333,3.0,CONTAM,24.35840594994988,24.399999999999984
211486,149.83419867783238,0.9615680992903954,3.115,3.0,LAE,24.91115492768962,24.999999999999982
212515,150.3121904428228,0.9682927741569791,3.11,2.7058823,LAE,24.841156084407764,24.999999999999982
212901,149.51533023186138,0.9712962287923111,3.1445556,3.0,LAE,24.78418758082587,24.799999999999983
214116,149.31361378587673,0.979044520951016,3.0942852,3.3658535,LAE,23.6815725351085,23.799999999999986
214346,150.16011135386123,0.9806900910542201,3.1407,2.0,UNDET,24.89062112823159,24.999999999999982
214357,150.04757476167708,0.9806591824807116,3.1011,2.0,UNDET,25.02605343094802,25.19999999999998
214931,149.95845671935953,0.9850440734198533,3.1063,3.0,LAE,24.864077036990647,24.999999999999982
215478,149.3818833155033,0.9884284023395496,3.1208642,3.0,LAE,23.7721834539456,23.799999999999986
217067,150.0738125118323,0.9989268498191862,3.1307476,3.0,LAE,23.98294105131017,23.999999999999986
217320,149.4846935896623,0.99984020390257,3.1006,3.0,LAE,23.064286929288738,23.19999999999999
217806,149.2557266891862,1.003705639413859,3.1,2.0,UNDET,24.819204260725265,24.999999999999982
217876,150.33282996268545,1.0045454235966633,3.1397684,3.0,LAE,24.65878772401181,24.799999999999983
218800,149.82938036062336,1.0111949645132807,3.13,3.0,LAE,24.997870123397703,24.999999999999982
218974,150.19370059760922,1.0119481956177072,3.1251354,3.0,LAE,24.589159152877738,24.599999999999984
219419,150.45074893104933,1.0150331959803514,3.1538308,3.3574648,LAE,23.91382572560066,23.999999999999986
219481,150.12411848630518,1.0158411744160092,3.1219304,2.4347825,UNDET,24.668173665238246,24.799999999999983
219955,149.3498797252789,1.0193469998095508,3.0977647,2.7058823,LAE,24.676242953908904,24.799999999999983
220067,150.36523999443827,1.020217641107999,3.117546,3.0,LAE,24.699932612469556,24.799999999999983
222397,149.1853538446651,1.0361668950063176,3.1004667,3.3333333,LAE,24.201241793461076,24.399999999999984
222656,150.0947667308628,1.038562073159106,3.1336,3.0,LAE,24.818391192308276,24.999999999999982
224192,149.54607095936717,1.0493180135116127,3.1121085,3.0,LAE,25.271103400633077,25.39999999999998
224788,149.9013406878611,1.0524028206924279,3.1229,2.5,CONTAM,24.576312892416748,24.599999999999984
224842,149.83490640928048,1.0528846285102726,3.1405334,3.0,CONTAM,24.074830964535725,24.199999999999985
226755,149.39530461443542,1.066741775401192,3.1214,3.5,LAE,24.153399964417996,24.199999999999985
227610,150.12605871558253,1.072631823172124,3.104491,3.0,LAE,23.97593832912227,23.999999999999986
228255,149.15830918108998,1.0770560512134404,3.1220224,3.0,LAE,24.513437033394244,24.599999999999984
229277,150.01991813158213,1.084426301073569,0.0,0.0,UNDET,25.213166116770687,25.39999999999998
229981,149.20934960061916,1.0880419463888709,2.2148,4.0,CONTAM,24.611246181950392,24.799999999999983
231677,149.63493474298494,1.0987164065393087,3.150564,3.0,LAE,23.906519839330294,23.999999999999986
232036,150.3237643816906,1.1016046648098514,3.104894,3.0,LAE,24.5270479866005,24.599999999999984
233164,149.8661583765697,1.1092251567029983,3.1252,3.0,LAE,24.780991825566897,24.799999999999983
233347,150.12127163185303,1.1105138376109507,3.1037,2.0,UNDET,24.92042937749307,24.999999999999982
233838,149.13610706018753,1.1136324115032468,3.1139824,3.0,LAE,24.488827744622892,24.599999999999984
235138,149.98782118380572,1.1228020355239134,3.0971646,3.0,LAE,24.913156897098386,24.999999999999982
236059,150.05738154266587,1.1291031415584571,3.1560938,3.0,LAE,25.162463243210855,25.19999999999998
236074,150.00708391497298,1.128270750918825,3.0979304,3.0,LAE,23.745248678092995,23.799999999999986
237165,149.96158986125477,1.1364226384853686,3.1060355,3.0,LAE,24.897771430254593,24.999999999999982
237836,149.3832560388375,1.1398468479157753,3.12455,3.0,LAE,24.075882325882635,24.199999999999985
238422,149.12548306030155,1.142807387733082,2.128195,4.0,CONTAM,22.171968829191204,22.199999999999992
238436,149.96784040455637,1.143302059648205,3.09865,3.0,LAE,24.09655320115811,24.199999999999985
240639,149.56499161709993,1.1569671401666168,3.1375291,3.0,LAE,23.193338075088562,23.19999999999999
241214,149.27587086681504,1.1617896031947978,3.1006196,3.3770492,LAE,24.400518257009576,24.599999999999984
241232,149.46523636644017,1.1604796052867121,3.107,3.0,LAE,23.49263844731622,23.599999999999987
241579,149.94601415402488,1.1620951414397036,3.1043668,3.4166667,LAE,22.886170743217235,22.99999999999999
241851,149.97995356408188,1.1663660047496132,3.0957918,3.0,LAE,25.221313048969066,25.39999999999998
242088,149.27446364460496,1.1657152110808118,3.0986,4.0,AGN,21.494421498986256,21.599999999999994
242435,149.4324389691155,1.1698374882909983,3.1379938,3.0,LAE,24.79535756609577,24.799999999999983
242868,149.38623887238225,1.173165419352916,3.0999413,3.0,LAE,24.95989385078415,24.999999999999982
242952,149.7248660084219,1.173249171185922,3.134118,3.0,LAE,24.620654393951618,24.799999999999983
243145,149.20382071489274,1.174643118406451,3.11775,2.5,CONTAM,24.978711514007177,24.999999999999982
243309,150.15805342478527,1.175565291299387,3.1501305,3.0,LAE,24.28893692183039,24.399999999999984
