LAE_INDEX,RA,DEC,ZWAVG,QUALITY,CLASSIFICATION,NARROWBAND_MAGNITUDE,NARROWBAND_BINS
126658,148.84033220986336,1.5431697556034427,4.5671735,3.0,LAE,23.352220540360232,23.399999999999988
318218,149.73324177592158,0.7624945151039632,4.5173693,3.0,LAE,24.413225393269506,24.599999999999984
358642,150.01093191987442,0.9314800670843656,4.5071144,3.0,LAE,24.348747024872655,24.399999999999984
377965,149.57280743466617,1.0122044392668563,4.5441,2.0,UNDET,25.100597185882766,25.19999999999998
386009,149.42121133222258,1.047354033521837,4.5103,3.0,LAE,24.98448066833568,24.999999999999982
402729,149.52525578568455,1.11518505669509,4.534023,3.0,LAE,24.250358496316892,24.399999999999984
422066,150.36426562350363,1.1922551252375455,4.539012,3.0,LAE,22.79295387654567,22.79999999999999
433813,149.45855581677196,1.2415872784456057,4.52885,3.0,LAE,25.217945114707653,25.39999999999998
435839,149.5341133187308,1.2496661065623276,4.534229,3.0,LAE,24.815967850663895,24.999999999999982
441229,149.4074027061862,1.2718093633248557,4.5076103,3.0,LAE,24.03643299198739,24.199999999999985
464642,149.66102498174746,1.3676099410912164,4.5365,3.0,LAE,24.73647754037763,24.799999999999983
476544,149.3407749016171,1.4255869074204157,4.513094,3.0,LAE,23.894130875925367,23.999999999999986
484130,149.65338103803245,1.3949037179917105,4.5216227,3.0,LAE,23.993696897178328,23.999999999999986
490199,149.49642814813248,1.3701300333616977,4.559824,3.0,LAE,23.405417737360914,23.599999999999987
669652,150.5000578047248,0.8961638414552286,4.549255,3.0,LAE,24.006973403266066,24.199999999999985
697303,150.8136653264133,1.0273003988999556,0.0,0.0,UNDET,25.515594953926797,25.59999999999998
718312,150.5315867315879,1.12383141891991,4.55665,3.0,LAE,24.489964569012994,24.599999999999984
726088,150.6870438958855,1.1584284508234715,4.5274,3.0,LAE,24.538318671369687,24.599999999999984
747053,150.85817559730378,1.2514763005279628,4.49655,3.0,LAE,23.756150143913125,23.799999999999986
753004,150.9322371341728,1.2799724220735156,4.54125,3.0,LAE,24.86731337023731,24.999999999999982
754756,150.7173206511178,1.288699375039895,4.5441,3.0,LAE,25.546211498288546,25.59999999999998
762039,150.85813056016462,1.3197304007442696,4.4985,3.0,LAE,24.558050133839796,24.599999999999984
781962,150.77448528827426,1.5625254894847305,4.53755,3.5,LAE,22.18846925865152,22.199999999999992
785594,150.72647183106653,1.5471375476709248,4.5649333,3.0,LAE,24.23070771357809,24.399999999999984
817447,151.2018992371359,1.411435909632753,4.51595,3.0,LAE,24.81265997612367,24.999999999999982
818848,150.68228100182603,1.410372170604785,4.5301,3.0,LAE,24.800134227386934,24.999999999999982
880494,148.67468551291725,1.8163545885050512,4.52535,3.0,LAE,24.818241187393372,24.999999999999982
892968,149.19495348157247,1.8673543365338754,4.5765,3.0,LAE,25.19037530851461,25.19999999999998
911198,149.34073326431783,1.9409093799575827,4.5782857,3.0,LAE,24.529517524141635,24.599999999999984
922930,149.21565039901304,1.986132942192386,4.5610595,3.0,LAE,23.200196267941323,23.399999999999988
932802,149.1614988101313,2.0241007759276406,4.56485,3.0,LAE,24.72975921162123,24.799999999999983
953394,149.1944032350775,2.107740473262953,4.568,3.0,LAE,23.82719473131333,23.999999999999986
976379,149.14873981136674,2.1971621345334262,4.55535,3.0,LAE,24.87861020072253,24.999999999999982
