Galaxy_name RA Dec Lya_flux Lya_flux_e NB_flux NB_flux_e dist Density Protocluster
56909 34.99488099873347 -5.761378668288973 9.673524727466917 0.5886387037001304 14.205890890481694 0.18048475857108312 74.21535557637755 0.0 0.0
59241 35.03920937205021 -5.749336237333012 21.324648878478428 0.3701288946624511 26.47664285853145 0.19789401761521924 72.1212605023459 0.627696130944718 0.0
68168 34.769747868306986 -5.706584416184693 10.818688211257475 0.410697182396666 16.45412956588301 0.1983190161805938 80.31411249166148 0.0 0.0
72744 34.500555801242115 -5.683633417489794 1.9304249896830905 0.2866023679208797 2.289327406495306 0.18308982754681763 91.43457062103329 0.0 0.0
72853 34.30407843389223 -5.686002111059459 87.75922674542659 0.6682211506369283 121.0681861364792 0.26267906354679704 101.04828641622052 0.0 0.0
74223 34.37711252556524 -5.6768642137025935 3.5042800651961103 0.3167904201112824 4.8545701598225985 0.20212391866149493 97.13623088458976 0.0 0.0
75185 34.34063434588221 -5.67131398514799 1.558151040332593 0.32101487184120714 2.266933169222434 0.22000529605418995 98.74464974105368 3.344970100170235 0.0
75403 34.85443907758629 -5.671663811252822 3.4164497632205366 0.308230797558198 3.709208764938173 0.20294876167242695 75.30883922940289 1.0727273911252895 0.0
76892 34.972639009411225 -5.664881302391186 3.0414147106405887 0.3591572208337718 3.7048533200867855 0.1932736840732832 70.38740020671491 0.7476062664681961 0.0
77177 34.56121082348404 -5.662943724174889 7.525797472361067 0.2690943936147066 10.523521191174954 0.2075971709741907 87.81931406275706 0.0 0.0
79407 34.3325041600512 -5.650057032138316 1.9183178135354138 0.2987556935264905 2.870073464617409 0.239461550809574 98.44335048504999 2.0970993716979915 0.0
79976 34.90653036423581 -5.647694137455948 1.6102234035595073 0.34198471592166924 2.5390260370405793 0.19335635714700722 72.1524442831132 1.2178644551468165 0.0
80167 34.37526333903676 -5.645809263524741 1.9720177970646602 0.27282156260508345 2.316387596250827 0.20951854283539473 96.17490031491151 3.913611794438796 0.0
81942 34.651853270599496 -5.638170260884503 1.959926569869644 0.238752710163594 3.5940890111815897 0.20258016143191415 82.68952232374191 0.6658943666454543 0.0
82097 34.40442569620752 -5.6367184187937625 2.1332604677657923 0.2480855898253004 2.6022404546612643 0.20352942761891316 94.42697876296342 3.49592829420503 0.0
82166 34.55278358044075 -5.636563070169764 1.8470026487045736 0.24068003493207107 2.3482053232317948 0.19705982268808897 87.24058987133894 2.5514918881026563 0.0
82497 34.57399657179052 -5.6352923922849545 2.0613807193493456 0.2462766898807902 2.686172768570669 0.20339044293567016 86.19244464033244 4.093470526075577 0.0
82909 34.4394847946601 -5.633394584575631 3.4566464602537628 0.24200642700368116 4.275618375550828 0.2026108119703813 92.58963321590593 1.5175611549294583 0.0
83281 34.60627733024219 -5.631909112732342 3.0433257833872345 0.23858914485949 4.8096101223063705 0.20593497126132243 84.55468368327416 2.255277892363303 0.0
83764 34.889575561922626 -5.629738159038737 1.1008750232521045 0.25086835312789457 1.5869383328998474 0.17559413330570256 72.03785071305006 2.188604887309845 0.0
83926 34.439432058319554 -5.6277109468820825 1.3643411819540805 0.23384689984734014 1.57566106927545 0.192789859153449 92.39771610009662 1.5175611549294583 0.0
