LAE_INDEX,RA,DEC,ZWAVG,QUALITY,CLASSIFICATION,NARROWBAND_MAGNITUDE,NARROWBAND_BINS
10665,148.53074232753323,1.4283815357287941,2.45385,2.5,LAE,24.056908919576944,24.199999999999985
14958,148.68218434667762,1.3635554751438086,2.45925,2.5,LAE,25.10999064527814,25.19999999999998
15680,148.77242262643927,1.353416743162447,0.9717,3.0,CONTAM,24.799602188605625,24.799999999999983
15818,148.61949238604598,1.3493686836959233,2.4767,3.0,LAE,24.408993395112265,24.599999999999984
16991,148.72314102128556,1.3302200105159474,2.43805,3.0,LAE,24.56319689607208,24.599999999999984
17552,148.78028372909483,1.3207267535303204,2.4717,3.0,LAE,24.665916943417407,24.799999999999983
18038,148.87807127560788,1.3123263465689778,2.4321,3.5,LAE,24.325592225236857,24.399999999999984
21001,148.72868602022535,1.264896544133389,2.47395,3.0,LAE,24.7280341365203,24.799999999999983
21045,148.84786647673286,1.264161015608889,2.4521,3.5,LAE,23.815230187724556,23.999999999999986
21659,148.7603018336416,1.2552247221552293,2.40115,4.0,AGN,23.48051979733199,23.599999999999987
21808,148.6574981572571,1.2527942384302053,2.42335,3.0,LAE,24.1385810667396,24.199999999999985
25310,148.7547768625902,1.1962673845041971,2.4685,2.5,LAE,24.095580024078505,24.199999999999985
29150,148.92531609183234,1.1294553951456523,2.4003,3.0,LAE,25.15997564856641,25.19999999999998
38962,148.9780807654014,0.9361218096135095,2.4604332,3.0,LAE,24.777579957219334,24.799999999999983
39908,148.93658258354247,0.9150501210617333,2.4284334,3.0,LAE,24.526203567959826,24.599999999999984
60683,148.64116285477667,1.5263033643169117,2.4178,3.5,LAE,23.436070745653346,23.599999999999987
61120,148.78239119746542,1.5598073529188072,2.436475,3.0,LAE,25.02185500045612,25.19999999999998
61925,148.62072574510756,1.52911256757998,2.47185,3.0,LAE,24.333561391139128,24.399999999999984
62104,148.73481178085007,1.5691849079032045,2.42735,3.0,LAE,24.40318171649274,24.599999999999984
62804,148.86950810758933,1.5252107396117534,2.42945,3.0,LAE,24.110818446127684,24.199999999999985
63579,148.65273880473475,1.542498336198045,2.4265,2.0,UNDET,24.876540486562405,24.999999999999982
63599,148.69105289259275,1.5821723920983783,2.421575,3.0,LAE,24.420962915473957,24.599999999999984
64433,148.74073550381965,1.5415694413912822,1.714925,4.0,CONTAM,22.733879394414146,22.79999999999999
64871,148.69742367297943,1.536706201939002,0.0,0.0,UNDET,24.98488245655461,24.999999999999982
64934,148.78294919557257,1.516701062560819,2.421975,3.0,LAE,23.676308391450807,23.799999999999986
66524,148.80474450389394,1.4896734021004396,2.424975,3.0,LAE,23.845165948315625,23.999999999999986
67386,148.81388977532322,1.4790686173371421,1.3365,4.0,CONTAM,22.751949880830274,22.79999999999999
67582,148.5844511581212,1.4756083237456779,2.4456,3.0,LAE,24.99635931413451,24.999999999999982
68841,148.7471603455789,1.4587772399253593,2.42415,3.0,LAE,24.01808647158576,24.199999999999985
68981,148.77254595609776,1.4564837676671873,2.421075,3.0,LAE,23.92865522381025,23.999999999999986
69010,148.83897737359118,1.4537894923838053,2.4379,3.0,LAE,24.99643775992065,24.999999999999982
