logL Corr CorrErr
41.889506560143936 -0.2837767937097118 0.007992556328872937
41.891735754069565 -0.2842515162454976 0.008035224549059005
41.8939649479952 -0.28474001547956984 0.008076086587608321
41.89619414192083 -0.2852417930615509 0.00811516736164652
41.898423335846466 -0.2857563506410698 0.008152491788299748
41.900652529772096 -0.28628318986774853 0.008188084784693659
41.902881723697725 -0.28682181239121435 0.008221971267954273
41.90511091762336 -0.2873717198610946 0.008254176155207583
41.90734011154899 -0.2879324139270114 0.008284724363579278
41.909569305474626 -0.2885033962385937 0.008313640810195448
41.911798499400255 -0.2890841684454636 0.008340950412181804
41.914027693325885 -0.2896742321972483 0.008366678086664338
41.91625688725152 -0.2902730891435754 0.00839084875076902
41.91848608117715 -0.2908802409340666 0.008413487321621586
41.920715275102786 -0.29149518921835127 0.008434618716348078
41.922944469028415 -0.2921174356460512 0.00845426785207426
41.925173662954045 -0.29274648186679364 0.008472459645926092
41.92740285687968 -0.29338182953020636 0.008489219015029519
41.92963205080531 -0.29402298028591084 0.008504570876510334
41.93186124473094 -0.2946694357835347 0.008518540147494487
41.934090438656575 -0.2953206976727054 0.008531151745107907
41.936319632582205 -0.2959762676030445 0.008542430586476414
41.93854882650784 -0.2966356472241818 0.008552401588725972
41.94077802043347 -0.2972983381857385 0.00856108966898241
41.9430072143591 -0.29796384213734217 0.008568519744371663
41.945236408284735 -0.29863166072862074 0.008574716732019639
41.947465602210364 -0.2993012956091952 0.008579705549052194
41.949694796136 -0.2999722484286958 0.008583511112595256
41.95192399006163 -0.3006440208367434 0.008586158339774698
41.95415318398726 -0.3013161144829659 0.008587672147716425
41.956382377912895 -0.3019880310169909 0.008588077453546332
41.958611571838524 -0.30265927208843996 0.008587399174390317
41.96084076576416 -0.30332933934694245 0.008585662227374264
41.96306995968979 -0.30399773444212 0.008582891529624083
41.96529915361542 -0.3046639590236001 0.008579111998265661
41.967528347541055 -0.30532751474101066 0.008574348550424882
41.969757541466684 -0.3059879032439727 0.008568626103227669
41.97198673539232 -0.30664462618211613 0.008561969573799878
41.97421592931795 -0.30729718520506233 0.00855440387926745
41.97644512324358 -0.3079450819624391 0.008545953936756261
41.978674317169215 -0.3085878181038737 0.008536644663392167
41.980903511094844 -0.3092248952789879 0.008526500976301138
41.98313270502048 -0.30985581513741095 0.008515547792608985
41.98536189894611 -0.31048007932876487 0.00850381002944169
41.98759109287174 -0.3110971895026768 0.008491312603925102
41.989820286797375 -0.31170664730877445 0.00847808043318508
41.992049480723004 -0.31230795439667947 0.008464138434347604
41.99427867464863 -0.31290061241601935 0.008449511524538522
41.99650786857427 -0.3134841230164215 0.008434224620883682
41.9987370624999 -0.3140579878475076 0.008418302640509077
42.000966256425535 -0.31462170855890714 0.008401770500540503
42.003195450351164 -0.31517478680024186 0.008384653118103956
42.00542464427679 -0.3157167242211393 0.008366975410325285
42.00765383820243 -0.31624702247122644 0.008348762294330318
42.00988303212806 -0.3167651832001257 0.008330038687245073
42.012112226053695 -0.3172707080574657 0.00831082950619532
42.014341419979324 -0.3177630986928692 0.008291159668307083
42.01657061390495 -0.31824185675596295 0.008271054090706192
42.01879980783059 -0.31870648389637407 0.00825053769051848
42.02102900175622 -0.31915648176372524 0.00822963538486997
42.023258195681855 -0.31959135200764477 0.008208372090886422
42.025487389607484 -0.3200105962777556 0.008186772725693868
42.02771658353311 -0.32041371622368453 0.00816486220641814
42.02994577745875 -0.3208002134950585 0.008142665450185056
42.03217497138438 -0.3211695897415004 0.008120207374120655
42.034404165310015 -0.32152134661263815 0.00809751289535069
42.036633359235644 -0.3218549857580953 0.0080746069310012
42.03886255316127 -0.3221700088274983 0.008051514398198005
42.04109174708691 -0.32246591747047365 0.00802826021406693
42.04332094101254 -0.3227422133366452 0.008004869295734017
42.045550134938175 -0.3229983980756402 0.00798136656032501
